"","otherSpeeches"
". On all leading questions agitating the public mind I will always express my views to Congress and urge them according to my judgment , and when I think it advisable will exercise the constitutional privilege of interposing a veto to defeat measures which I oppose . The country having just emerged from a great rebellion , many questions will come before it for settlement in the next four years which preceding Administrations have never had to deal with . Let it be understood that no repudiator of one farthing of our public debt will be trusted in public place , and it will go far toward strengthening a credit which ought to be the best in the world , and will ultimately enable us to replace the debt with bonds bearing less interest than we now pay . When we compare the paying capacity of the country now , with the ten States in poverty from the effects of war , but soon to emerge , I trust , into greater prosperity than ever before , with its paying capacity twenty-five years ago , and calculate what it probably will be twenty-five years hence , who can doubt the feasibility of paying every dollar then with more ease than we now pay for useless luxuries . In regard to foreign policy , I would deal with nations as equitable law requires individuals to deal with each other , and I would protect the law-abiding citizen , whether of native or foreign birth , wherever his rights are jeopardized or the flag of our country floats","On all leading questions agitating the public mind I will always express my views to Congress and urge them according to my judgment, and when I think it advisable will exercise the constitutional privilege of interposing a veto to defeat measures which I oppose. The country having just emerged from a great rebellion, many questions will come before it for settlement in the next four years which preceding Administrations have never had to deal with. Let it be understood that no repudiator of one farthing of our public debt will be trusted in public place, and it will go far toward strengthening a credit which ought to be the best in the world, and will ultimately enable us to replace the debt with bonds bearing less interest than we now pay. When we compare the paying capacity of the country now, with the ten States in poverty from the effects of war, but soon to emerge, I trust, into greater prosperity than ever before, with its paying capacity twenty-five years ago, and calculate what it probably will be twenty-five years hence, who can doubt the feasibility of paying every dollar then with more ease than we now pay for useless luxuries. In regard to foreign policy, I would deal with nations as equitable law requires individuals to deal with each other, and I would protect the law-abiding citizen, whether of native or foreign birth, wherever his rights are jeopardized or the flag of our country floats."
". Now that the telegraph is made available for communicating thought , together with rapid transit by steam , all parts of a continent are made contiguous for all purposes of government , and communication between the extreme limits of the country made easier than it was throughout the old thirteen States at the beginning of our national existence . Social equality is not a subject to be legislated upon , nor shall I ask that anything be done to advance the social status of the colored man , except to give him a fair chance to develop what there is good in him , give him access to the schools , and when he travels let him feel assured that his conduct will regulate the treatment and fare he will receive . Rather do I believe that our Great Maker is preparing the world , in His own good time , to become one nation , speaking one language , and when armies and navies will be no longer required . All these things are not to be accomplished by one individual , but they will receive my support and such recommendations to Congress as will in my judgment best serve to carry them into effect . I acknowledge before this assemblage , representing , as it does , every section of our country , the obligation I am under to my countrymen for the great honor they have conferred on me by returning me to the highest office within their gift , and the further obligation resting on me to render to them the best services within my power","Now that the telegraph is made available for communicating thought, together with rapid transit by steam, all parts of a continent are made contiguous for all purposes of government, and communication between the extreme limits of the country made easier than it was throughout the old thirteen States at the beginning of our national existence. Social equality is not a subject to be legislated upon, nor shall I ask that anything be done to advance the social status of the colored man, except to give him a fair chance to develop what there is good in him, give him access to the schools, and when he travels let him feel assured that his conduct will regulate the treatment and fare he will receive. Rather do I believe that our Great Maker is preparing the world, in His own good time, to become one nation, speaking one language, and when armies and navies will be no longer required. All these things are not to be accomplished by one individual, but they will receive my support and such recommendations to Congress as will in my judgment best serve to carry them into effect. I acknowledge before this assemblage, representing, as it does, every section of our country, the obligation I am under to my countrymen for the great honor they have conferred on me by returning me to the highest office within their gift, and the further obligation resting on me to render to them the best services within my power."
". In expressing aspirations , in seeking practical plans , in translating humanity 's new concept of righteousness and justice and its hatred of war into recommended action we are ready most heartily to unite , but every commitment must be made in the exercise of our national sovereignty . Because we cherish ideals of justice and peace , because we appraise international comity and helpful relationship no less highly than any people of the world , we aspire to a high place in the moral leadership of civilization , and we hold a maintained America , the proven Republic , the unshaken temple of representative democracy , to be not only an inspiration and example , but the highest agency of strengthening good will and promoting accord on both continents . While the world 's embittered travail did not leave us devastated lands nor desolated cities , left no gaping wounds , no breast with hate , it did involve us in the delirium of expenditure , in expanded currency and credits , in unbalanced industry , in unspeakable waste , and disturbed relationships . If it will lighten the spirit and add to the resolution with which we take up the task , let me repeat for our Nation , we shall give no people just cause to make war upon us . It has been proved again and again that we cannot , while throwing our markets open to the world , maintain American standards of living and opportunity , and hold our industrial eminence in such unequal competition","In expressing aspirations, in seeking practical plans, in translating humanity 's new concept of righteousness and justice and its hatred of war into recommended action we are ready most heartily to unite, but every commitment must be made in the exercise of our national sovereignty. Because we cherish ideals of justice and peace, because we appraise international comity and helpful relationship no less highly than any people of the world, we aspire to a high place in the moral leadership of civilization, and we hold a maintained America, the proven Republic, the unshaken temple of representative democracy, to be not only an inspiration and example, but the highest agency of strengthening good will and promoting accord on both continents. While the world 's embittered travail did not leave us devastated lands nor desolated cities, left no gaping wounds, no breast with hate, it did involve us in the delirium of expenditure, in expanded currency and credits, in unbalanced industry, in unspeakable waste, and disturbed relationships. If it will lighten the spirit and add to the resolution with which we take up the task, let me repeat for our Nation, we shall give no people just cause to make war upon us. It has been proved again and again that we cannot, while throwing our markets open to the world, maintain American standards of living and opportunity, and hold our industrial eminence in such unequal competition."
". However strong may be my present purpose to realize the expectations of a magnanimous and confiding people , I too well understand the dangerous temptations to which I shall be exposed from the magnitude of the power which it has been the pleasure of the people to commit to my hands not to place my chief confidence upon the aid of that Almighty Power which has hitherto protected me and enabled me to bring to favorable issues other important but still greatly inferior trusts heretofore confided to me by my country ; but as I sincerely believe that the tendency of measures and of men 's opinions for some years past has been in that direction , it is , I conceive , strictly proper that I should take this occasion to repeat the assurances I have heretofore given of my determination to arrest the progress of that tendency if it really exists and restore the Government to its pristine health and vigor , as far as this can be effected by any legitimate exercise of the power placed in my hands . It could not but have occurred to the Convention that in a country so extensive , embracing so great a variety of soil and climate , and consequently of products , and which from the same causes must ever exhibit a great difference in the amount of the population of its various sections , calling for a great diversity in the employments of the people , that the legislation of the majority might not always justly regard the rights and interests of the minority , and that acts of this character might be passed under an express grant by the words of the Constitution , and therefore not within the competency of the judiciary to declare void . If this be true--and it will scarcely be denied by anyone who has a correct idea of his own rights as an American citizen--the grant to Congress of exclusive jurisdiction in the District of Columbia can be interpreted , so far as respects the aggregate people of the United States , as meaning nothing more than to allow to Congress the controlling power necessary to afford a free and safe exercise of the functions assigned to the General Government by the Constitution . I assure them , therefore , that it is my intention to use every means in my power to preserve the friendly intercourse which now so happily subsists with every foreign nation , and that although , of course , not well informed as to the state of pending negotiations with any of them , I see in the personal characters of the sovereigns , as well as in the mutual interests of our own and of the governments with which our relations are most intimate , a pleasing guaranty that the harmony so important to the interests of their subjects as well as of our citizens will not be interrupted by the advancement of any claim or pretension upon their part to which our honor would not permit us to yield","However strong may be my present purpose to realize the expectations of a magnanimous and confiding people, I too well understand the dangerous temptations to which I shall be exposed from the magnitude of the power which it has been the pleasure of the people to commit to my hands not to place my chief confidence upon the aid of that Almighty Power which has hitherto protected me and enabled me to bring to favorable issues other important but still greatly inferior trusts heretofore confided to me by my country ; but as I sincerely believe that the tendency of measures and of men 's opinions for some years past has been in that direction, it is, I conceive, strictly proper that I should take this occasion to repeat the assurances I have heretofore given of my determination to arrest the progress of that tendency if it really exists and restore the Government to its pristine health and vigor, as far as this can be effected by any legitimate exercise of the power placed in my hands. It could not but have occurred to the Convention that in a country so extensive, embracing so great a variety of soil and climate, and consequently of products, and which from the same causes must ever exhibit a great difference in the amount of the population of its various sections, calling for a great diversity in the employments of the people, that the legislation of the majority might not always justly regard the rights and interests of the minority, and that acts of this character might be passed under an express grant by the words of the Constitution, and therefore not within the competency of the judiciary to declare void. If this be true--and it will scarcely be denied by anyone who has a correct idea of his own rights as an American citizen--the grant to Congress of exclusive jurisdiction in the District of Columbia can be interpreted, so far as respects the aggregate people of the United States, as meaning nothing more than to allow to Congress the controlling power necessary to afford a free and safe exercise of the functions assigned to the General Government by the Constitution. I assure them, therefore, that it is my intention to use every means in my power to preserve the friendly intercourse which now so happily subsists with every foreign nation, and that although, of course, not well informed as to the state of pending negotiations with any of them, I see in the personal characters of the sovereigns, as well as in the mutual interests of our own and of the governments with which our relations are most intimate, a pleasing guaranty that the harmony so important to the interests of their subjects as well as of our citizens will not be interrupted by the advancement of any claim or pretension upon their part to which our honor would not permit us to yield."
". Such a plan must include the right of the people to avail themselves of those methods of combining capital and effort deemed necessary to reach the highest degree of economic efficiency , at the same time differentiating between combinations based upon legitimate economic reasons and those formed with the intent of creating monopolies and artificially controlling prices . This should secure an adequate revenue and adjust the duties in such a manner as to afford to labor and to all industries in this country , whether of the farm , mine or factory , protection by tariff equal to the difference between the cost of production abroad and the cost of production here , and have a provision which shall put into force , upon executive determination of certain facts , a higher or maximum tariff against those countries whose trade policy toward us equitably requires such discrimination . But we should be blind to existing conditions and should allow ourselves to become foolish idealists if we did not realize that , with all the nations of the world armed and prepared for war , we must be ourselves in a similar condition , in order to prevent other nations from taking advantage of us and of our inability to defend our interests and assert our rights with a strong hand . We must hold up their hands , and speaking for the incoming administration I wish to say that I propose to devote all the energy possible and under my control to pushing of this work on the plans which have been adopted , and to stand behind the men who are doing faithful , hard work to bring about the early completion of this , the greatest constructive enterprise of modern times . At his instance Congress has passed the bill fixing the liability of interstate carriers to their employees for injury sustained in the course of employment , abolishing the rule of fellow-servant and the common-law rule as to contributory negligence , and substituting therefor the so-called rule of \""comparative negligence.\ "" It has also passed a law fixing the compensation of government employees for injuries sustained in the employ of the Government through the negligence of the superior","Such a plan must include the right of the people to avail themselves of those methods of combining capital and effort deemed necessary to reach the highest degree of economic efficiency, at the same time differentiating between combinations based upon legitimate economic reasons and those formed with the intent of creating monopolies and artificially controlling prices. This should secure an adequate revenue and adjust the duties in such a manner as to afford to labor and to all industries in this country, whether of the farm, mine or factory, protection by tariff equal to the difference between the cost of production abroad and the cost of production here, and have a provision which shall put into force, upon executive determination of certain facts, a higher or maximum tariff against those countries whose trade policy toward us equitably requires such discrimination. But we should be blind to existing conditions and should allow ourselves to become foolish idealists if we did not realize that, with all the nations of the world armed and prepared for war, we must be ourselves in a similar condition, in order to prevent other nations from taking advantage of us and of our inability to defend our interests and assert our rights with a strong hand. We must hold up their hands, and speaking for the incoming administration I wish to say that I propose to devote all the energy possible and under my control to pushing of this work on the plans which have been adopted, and to stand behind the men who are doing faithful, hard work to bring about the early completion of this, the greatest constructive enterprise of modern times. At his instance Congress has passed the bill fixing the liability of interstate carriers to their employees for injury sustained in the course of employment, abolishing the rule of fellow-servant and the common-law rule as to contributory negligence, and substituting therefor the so-called rule of \""comparative negligence.\ "" It has also passed a law fixing the compensation of government employees for injuries sustained in the employ of the Government through the negligence of the superior."
". This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America . When our Founders boldly declared America 's independence to the world and our purposes to the Almighty , they knew that America , to endure , would have to change . Let us put aside personal advantage so that we can feel the pain and see the promise of America . Clearly , America must continue to lead the world we did so much to make . And so , my fellow Americans , as we stand at the edge of the 21st century , let us begin anew with energy and hope , with faith and discipline","This ceremony is held in the depth of winter, but by the words we speak and the faces we show the world, we force the spring, a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America. When our Founders boldly declared America 's independence to the world and our purposes to the Almighty, they knew that America, to endure, would have to change. Let us put aside personal advantage so that we can feel the pain and see the promise of America. Clearly, America must continue to lead the world we did so much to make. And so, my fellow Americans, as we stand at the edge of the 21st century, let us begin anew with energy and hope, with faith and discipline."
". It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes . Along the way , Americans produced a great middle class and security in old age , built unrivaled centers of learning and opened public schools to all , split the atom and explored the heavens , invented the computer and the microchip , and deepened the wellspring of justice by making a revolution in civil rights for African-Americans and all minorities and extending the circle of citizenship , opportunity , and dignity to women . We need a new Government for a new century , humble enough not to try to solve all our problems for us but strong enough to give us the tools to solve our problems for ourselves , a Government that is smaller , lives within its means , and does more with less . Our land of new promise will be a nation that meets its obligations , a nation that balances its budget but never loses the balance of its values , a nation where our grandparents have secure retirement and health care and their grandchildren know we have made the reforms necessary to sustain those benefits for their time , a nation that fortifies the world 's most productive economy even as it protects the great natural bounty of our water , air , and majestic land . May those generations whose faces we cannot yet see , whose names we may never know , say of us here that we led our beloved land into a new century with the American dream alive for all her children , with the American promise of a more perfect Union a reality for all her people , with America 's bright flame of freedom spreading throughout all the world","It is our great good fortune that time and chance have put us not only at the edge of a new century, in a new millennium, but on the edge of a bright new prospect in human affairs, a moment that will define our course and our character for decades to comes. Along the way, Americans produced a great middle class and security in old age, built unrivaled centers of learning and opened public schools to all, split the atom and explored the heavens, invented the computer and the microchip, and deepened the wellspring of justice by making a revolution in civil rights for African-Americans and all minorities and extending the circle of citizenship, opportunity, and dignity to women. We need a new Government for a new century, humble enough not to try to solve all our problems for us but strong enough to give us the tools to solve our problems for ourselves, a Government that is smaller, lives within its means, and does more with less. Our land of new promise will be a nation that meets its obligations, a nation that balances its budget but never loses the balance of its values, a nation where our grandparents have secure retirement and health care and their grandchildren know we have made the reforms necessary to sustain those benefits for their time, a nation that fortifies the world 's most productive economy even as it protects the great natural bounty of our water, air, and majestic land. May those generations whose faces we cannot yet see, whose names we may never know, say of us here that we led our beloved land into a new century with the American dream alive for all her children, with the American promise of a more perfect Union a reality for all her people, with America 's bright flame of freedom spreading throughout all the world."
". We must be both \""sure we are right\ "" and \""make haste slowly.\ "" If , therefore , Congress , in its wisdom , shall deem it expedient to create a commission to take under early consideration the revision of our coinage , banking and currency laws , and give them that exhaustive , careful and dispassionate examination that their importance demands , I shall cordially concur in such action . The brief trial given this legislation amply justifies a further experiment and additional discretionary power in the making of commercial treaties , the end in view always to be the opening up of new markets for the products of our country , by granting concessions to the products of other lands that we need and cannot produce ourselves , and which do not involve any loss of labor to our own people , but tend to increase their employment . The depressed condition of industry on the farm and in the mine and factory has lessened the ability of the people to meet the demands upon them , and they rightfully expect that not only a system of revenue shall be established that will secure the largest income with the least burden , but that every means will be taken to decrease , rather than increase , our public expenditures . The declaration of the party now restored to power has been in the past that of \""opposition to all combinations of capital organized in trusts , or otherwise , to control arbitrarily the condition of trade among our citizens , \ "" and it has supported \""such legislation as will prevent the execution of all schemes to oppress the people by undue charges on their supplies , or by unjust rates for the transportation of their products to the market.\ "" This purpose will be steadily pursued , both by the enforcement of the laws now in existence and the recommendation and support of such new statutes as may be necessary to carry it into effect ; since it has been recognized as the leading feature of our foreign policy throughout our entire national history--the adjustment of difficulties by judicial methods rather than force of arms--and since it presents to the world the glorious example of reason and peace , not passion and war , controlling the relations between two of the greatest nations in the world , an example certain to be followed by others , I respectfully urge the early action of the Senate thereon , not merely as a matter of policy , but as a duty to mankind","We must be both \""sure we are right\ "" and \""make haste slowly.\ "" If, therefore, Congress, in its wisdom, shall deem it expedient to create a commission to take under early consideration the revision of our coinage, banking and currency laws, and give them that exhaustive, careful and dispassionate examination that their importance demands, I shall cordially concur in such action. The brief trial given this legislation amply justifies a further experiment and additional discretionary power in the making of commercial treaties, the end in view always to be the opening up of new markets for the products of our country, by granting concessions to the products of other lands that we need and cannot produce ourselves, and which do not involve any loss of labor to our own people, but tend to increase their employment. The depressed condition of industry on the farm and in the mine and factory has lessened the ability of the people to meet the demands upon them, and they rightfully expect that not only a system of revenue shall be established that will secure the largest income with the least burden, but that every means will be taken to decrease, rather than increase, our public expenditures. The declaration of the party now restored to power has been in the past that of \""opposition to all combinations of capital organized in trusts, or otherwise, to control arbitrarily the condition of trade among our citizens, \ "" and it has supported \""such legislation as will prevent the execution of all schemes to oppress the people by undue charges on their supplies, or by unjust rates for the transportation of their products to the market.\ "" This purpose will be steadily pursued, both by the enforcement of the laws now in existence and the recommendation and support of such new statutes as may be necessary to carry it into effect ; since it has been recognized as the leading feature of our foreign policy throughout our entire national history--the adjustment of difficulties by judicial methods rather than force of arms--and since it presents to the world the glorious example of reason and peace, not passion and war, controlling the relations between two of the greatest nations in the world, an example certain to be followed by others, I respectfully urge the early action of the Senate thereon, not merely as a matter of policy, but as a duty to mankind."
". It encourages me for the great task which I now undertake to believe that those who voluntarily committed to me the trust imposed upon the Chief Executive of the Republic will give to me generous support in my duties to \""preserve , protect , and defend , the Constitution of the United States\ "" and to \""care that the laws be faithfully executed.\ "" The national purpose is indicated through a national election . As heretofore , so hereafter will the nation demonstrate its fitness to administer any new estate which events devolve upon it , and in the fear of God will \""take occasion by the hand and make the bounds of freedom wider yet.\ "" If there are those among us who would make our way more difficult , we must not be disheartened , but the more earnestly dedicate ourselves to the task upon which we have rightly entered . The transfer of American control to the new government is of such great importance , involving an obligation resulting from our intervention and the treaty of peace , that I am glad to be advised by the recent act of Congress of the policy which the legislative branch of the Government deems essential to the best interests of Cuba and the United States . The principles which led to our intervention require that the fundamental law upon which the new government rests should be adapted to secure a government capable of performing the duties and discharging the functions of a separate nation , of observing its international obligations of protecting life and property , insuring order , safety , and liberty , and conforming to the established and historical policy of the United States in its relation to Cuba . These reports fully set forth the conditions , past and present , in the islands , and the instructions clearly show the principles which will guide the Executive until the Congress shall , as it is required to do by the treaty , determine \""the civil rights and political status of the native inhabitants.\ "" The Congress having added the sanction of its authority to the powers already possessed and exercised by the Executive under the Constitution , thereby leaving with the Executive the responsibility for the government of the Philippines , I shall continue the efforts already begun until order shall be restored throughout the islands , and as fast as conditions permit will establish local governments , in the formation of which the full co-operation of the people has been already invited , and when established will encourage the people to administer them","It encourages me for the great task which I now undertake to believe that those who voluntarily committed to me the trust imposed upon the Chief Executive of the Republic will give to me generous support in my duties to \""preserve, protect, and defend, the Constitution of the United States\ "" and to \""care that the laws be faithfully executed.\ "" The national purpose is indicated through a national election. As heretofore, so hereafter will the nation demonstrate its fitness to administer any new estate which events devolve upon it, and in the fear of God will \""take occasion by the hand and make the bounds of freedom wider yet.\ "" If there are those among us who would make our way more difficult, we must not be disheartened, but the more earnestly dedicate ourselves to the task upon which we have rightly entered. The transfer of American control to the new government is of such great importance, involving an obligation resulting from our intervention and the treaty of peace, that I am glad to be advised by the recent act of Congress of the policy which the legislative branch of the Government deems essential to the best interests of Cuba and the United States. The principles which led to our intervention require that the fundamental law upon which the new government rests should be adapted to secure a government capable of performing the duties and discharging the functions of a separate nation, of observing its international obligations of protecting life and property, insuring order, safety, and liberty, and conforming to the established and historical policy of the United States in its relation to Cuba. These reports fully set forth the conditions, past and present, in the islands, and the instructions clearly show the principles which will guide the Executive until the Congress shall, as it is required to do by the treaty, determine \""the civil rights and political status of the native inhabitants.\ "" The Congress having added the sanction of its authority to the powers already possessed and exercised by the Executive under the Constitution, thereby leaving with the Executive the responsibility for the government of the Philippines, I shall continue the efforts already begun until order shall be restored throughout the islands, and as fast as conditions permit will establish local governments, in the formation of which the full co-operation of the people has been already invited, and when established will encourage the people to administer them."
". Some old things with which we had grown familiar , and which had begun to creep into the very habit of our thought and of our lives , have altered their aspect as we have latterly looked critically upon them , with fresh , awakened eyes . Our thought has been \""Let every man look out for himself , let every generation look out for itself , \ "" while we reared giant machinery which made it impossible that any but those who stood at the levers of control should have a chance to look out for themselves ; an industrial system which , take it on all its sides , financial as well as administrative , holds capital in leading strings , restricts the liberties and limits the opportunities of labor , and exploits without renewing or conserving the natural resources of the country . Nor have we studied and perfected the means by which government may be put at the service of humanity , in safeguarding the health of the Nation , the health of its men and its women and its children , as well as their rights in the struggle for existence . We know our task to be no mere task of politics but a task which shall search us through and through , whether we be able to understand our time and the need of our people , whether we be indeed their spokesmen and interpreters , whether we have the pure heart to comprehend and the rectified will to choose our high course of action","Some old things with which we had grown familiar, and which had begun to creep into the very habit of our thought and of our lives, have altered their aspect as we have latterly looked critically upon them, with fresh, awakened eyes. Our thought has been \""Let every man look out for himself, let every generation look out for itself, \ "" while we reared giant machinery which made it impossible that any but those who stood at the levers of control should have a chance to look out for themselves ; an industrial system which, take it on all its sides, financial as well as administrative, holds capital in leading strings, restricts the liberties and limits the opportunities of labor, and exploits without renewing or conserving the natural resources of the country. Nor have we studied and perfected the means by which government may be put at the service of humanity, in safeguarding the health of the Nation, the health of its men and its women and its children, as well as their rights in the struggle for existence. We know our task to be no mere task of politics but a task which shall search us through and through, whether we be able to understand our time and the need of our people, whether we be indeed their spokesmen and interpreters, whether we have the pure heart to comprehend and the rectified will to choose our high course of action."
". Although we have centered counsel and action with such unusual concentration and success upon the great problems of domestic legislation to which we addressed ourselves four years ago , other matters have more and more forced themselves upon our attention--matters lying outside our own life as a nation and over which we had no control , but which , despite our wish to keep free of them , have drawn us more and more irresistibly into their own current and influence . There are many things still to be done at home , to clarify our own politics and add new vitality to the industrial processes of our own life , and we shall do them as time and opportunity serve , but we realize that the greatest things that remain to be done must be done with the whole world for stage and in cooperation with the wide and universal forces of mankind , and we are making our spirits ready for those things ; that the community of interest and of power upon which peace must henceforth depend imposes upon each nation the duty of seeing to it that all influences proceeding from its own citizens meant to encourage or assist revolution in other states should be sternly and effectually suppressed and prevented . In their ardent heat we shall , in God 's Providence , let us hope , be purged of faction and division , purified of the errant humors of party and of private interest , and shall stand forth in the days to come with a new dignity of national pride and spirit . The thing I shall count upon , the thing without which neither counsel nor action will avail , is the unity of America--an America united in feeling , in purpose and in its vision of duty , of opportunity and of service","Although we have centered counsel and action with such unusual concentration and success upon the great problems of domestic legislation to which we addressed ourselves four years ago, other matters have more and more forced themselves upon our attention--matters lying outside our own life as a nation and over which we had no control, but which, despite our wish to keep free of them, have drawn us more and more irresistibly into their own current and influence. There are many things still to be done at home, to clarify our own politics and add new vitality to the industrial processes of our own life, and we shall do them as time and opportunity serve, but we realize that the greatest things that remain to be done must be done with the whole world for stage and in cooperation with the wide and universal forces of mankind, and we are making our spirits ready for those things ; that the community of interest and of power upon which peace must henceforth depend imposes upon each nation the duty of seeing to it that all influences proceeding from its own citizens meant to encourage or assist revolution in other states should be sternly and effectually suppressed and prevented. In their ardent heat we shall, in God 's Providence, let us hope, be purged of faction and division, purified of the errant humors of party and of private interest, and shall stand forth in the days to come with a new dignity of national pride and spirit. The thing I shall count upon, the thing without which neither counsel nor action will avail, is the unity of America--an America united in feeling, in purpose and in its vision of duty, of opportunity and of service."
". The legislative and judicial branches of the Government present prominent examples of distinguished civil attainments and matured experience , and it shall be my endeavor to call to my assistance in the Executive Departments individuals whose talents , integrity , and purity of character will furnish ample guaranties for the faithful and honorable performance of the trusts to be committed to their charge . In the discharge of these duties my guide will be the Constitution , which I this day swear to \""preserve , protect , and defend.\ "" For the interpretation of that instrument I shall look to the decisions of the judicial tribunals established by its authority and to the practice of the Government under the earlier Presidents , who had so large a share in its formation . Chosen by the body of the people under the assurance that my Administration would be devoted to the welfare of the whole country , and not to the support of any particular section or merely local interest , I this day renew the declarations I have heretofore made and proclaim my fixed determination to maintain to the extent of my ability the Government in its original purity and to adopt as the basis of my public policy those great republican doctrines which constitute the strength of our national existence . In reference to the Army and Navy , lately employed with so much distinction on active service , care shall be taken to insure the highest condition of efficiency , and in furtherance of that object the military and naval schools , sustained by the liberality of Congress , shall receive the special attention of the Executive . Let us invoke a continuance of the same protecting care which has led us from small beginnings to the eminence we this day occupy , and let us seek to deserve that continuance by prudence and moderation in our councils , by well-directed attempts to assuage the bitterness which too often marks unavoidable differences of opinion , by the promulgation and practice of just and liberal principles , and by an enlarged patriotism , which shall acknowledge no limits but those of our own widespread Republic","The legislative and judicial branches of the Government present prominent examples of distinguished civil attainments and matured experience, and it shall be my endeavor to call to my assistance in the Executive Departments individuals whose talents, integrity, and purity of character will furnish ample guaranties for the faithful and honorable performance of the trusts to be committed to their charge. In the discharge of these duties my guide will be the Constitution, which I this day swear to \""preserve, protect, and defend.\ "" For the interpretation of that instrument I shall look to the decisions of the judicial tribunals established by its authority and to the practice of the Government under the earlier Presidents, who had so large a share in its formation. Chosen by the body of the people under the assurance that my Administration would be devoted to the welfare of the whole country, and not to the support of any particular section or merely local interest, I this day renew the declarations I have heretofore made and proclaim my fixed determination to maintain to the extent of my ability the Government in its original purity and to adopt as the basis of my public policy those great republican doctrines which constitute the strength of our national existence. In reference to the Army and Navy, lately employed with so much distinction on active service, care shall be taken to insure the highest condition of efficiency, and in furtherance of that object the military and naval schools, sustained by the liberality of Congress, shall receive the special attention of the Executive. Let us invoke a continuance of the same protecting care which has led us from small beginnings to the eminence we this day occupy, and let us seek to deserve that continuance by prudence and moderation in our councils, by well-directed attempts to assuage the bitterness which too often marks unavoidable differences of opinion, by the promulgation and practice of just and liberal principles, and by an enlarged patriotism, which shall acknowledge no limits but those of our own widespread Republic."
